party,timestamp,amount,counterparty,communication
A209,2024-01-05 12:07:53,2414.32,500,/C/
A354,2023-04-12 07:20:26,7581.89,A244,7701436349
A284,2022-08-26 17:45:23,3690.84,543,/B/
A382,2023-11-28 04:33:12,4255.61,563,/B/
464,2022-08-02 03:50:29,3518.75,277,bonus
123,2022-07-27 09:49:22,2514.79,738,beers
760,2022-12-31 13:19:08,3156.16,548,fries
A111,2024-01-26 13:42:21,1852.31,A379,7498941343
A155,2023-05-18 00:20:20,3609.45,14,/C/
A141,2023-04-25 06:13:36,5341.82,46,/A/
714,2022-12-01 18:54:14,5534.04,966,beers
A386,2024-05-17 04:44:21,6379.06,A252,1094777520
A245,2022-12-11 02:42:17,2525.53,A59,1671902294
254,2024-02-04 06:18:40,852.72,121,payback
620,2022-11-05 16:26:57,7644.67,610,payback
535,2022-09-25 15:19:47,2257.65,389,savings
A153,2022-07-14 20:42:08,9085.14,880,/C/
A157,2023-06-03 20:59:48,9900.32,582,/C/
A379,2023-02-09 02:10:08,603.24,101,/A/
A136,2024-04-25 16:59:17,6255.52,676,/A/
A89,2022-08-07 08:52:46,1571.41,565,/A/
418,2024-03-04 04:05:07,1566.17,461,fries
A150,2023-02-20 11:17:39,5938.52,33,/A/
A145,2023-03-29 22:43:35,2881.76,719,/B/
A120,2023-10-15 01:10:19,712.73,946,/B/
A321,2023-06-19 17:33:02,7878.49,A302,3618324210
314,2024-01-01 23:26:12,1660.06,609,fries
A148,2023-08-31 18:36:46,8242.58,449,/A/
A156,2023-05-08 02:07:16,4687.51,716,/B/
512,2024-02-10 00:42:20,9426.82,552,savings
A307,2022-07-13 09:47:19,4378.15,40,/B/
618,2023-12-04 10:42:37,7345.6,256,rent
984,2023-01-22 21:35:10,914.18,690,payback
A11,2023-08-27 22:54:14,5871.64,A392,4902787429
A252,2024-03-10 11:57:18,4359.41,A47,7565512567
A206,2022-07-27 02:18:28,2882.89,A390,8071545168
A1,2024-03-01 18:21:01,8249.45,673,/C/
55,2023-07-08 02:10:24,4620.3,192,payback
A388,2023-01-03 07:36:04,3618.43,510,/C/
A27,2022-09-06 09:57:54,4420.97,208,/B/
949,2023-07-24 18:25:36,5492.65,294,savings
A249,2023-10-06 09:00:50,8808.59,124,/A/
623,2022-10-27 13:54:17,9731.5,818,beers
A160,2024-01-16 09:48:25,7098.12,A283,0861317127
A150,2023-07-01 17:10:34,9326.6,521,/C/
A248,2023-09-28 15:03:08,2734.98,483,/A/
A75,2022-08-22 13:56:54,4568.41,392,/A/
A261,2023-09-28 21:51:10,9218.76,764,/A/
A142,2024-01-29 17:16:27,8640.41,791,/B/
806,2023-11-05 01:24:06,3399.41,519,bonus
A145,2023-11-07 00:20:37,8205.67,A372,4997278755
A279,2024-01-05 17:09:24,5519.62,A194,7533963605
A362,2022-09-11 22:10:13,7447.31,A196,6270289517
A234,2022-11-02 19:40:39,998.02,A8,2621745961
A346,2023-04-14 04:41:26,8517.8,879,/C/
A163,2023-02-03 15:23:54,3800.71,A321,7809134316
778,2024-03-04 12:10:19,9783.4,648,fries
454,2023-03-02 06:25:45,8725.92,170,fries
29,2023-04-22 16:57:53,2995.36,47,bonus
A151,2024-03-04 02:04:08,7961.64,367,/B/
A126,2024-03-10 09:46:21,4307.44,543,/B/
A93,2022-08-22 09:35:12,5659.71,174,/A/
A196,2023-02-10 04:39:59,790.6,A318,3792374740
A239,2022-06-24 03:03:23,8989.19,922,/B/
A81,2022-10-19 05:24:51,6776.43,75,/B/
A301,2023-10-30 19:04:26,9452.41,306,/C/
706,2023-07-19 13:05:11,9620.33,256,savings
A102,2023-04-10 02:27:44,8453.19,A197,7136959440
674,2023-03-24 16:32:17,9779.47,405,bonus
A352,2024-06-15 16:34:00,81.97,A399,0974395339
A387,2022-07-10 19:18:26,2507.02,A370,2104709521
